web-scraper-order,web-scraper-start-url,category-links,category-links-href,subcategory-links,subcategory-links-href,product-links,product-links-href,name,price,description
"1685079068-1","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ROG Strix S...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/544","Asus ROG Strix SCAR Edition GL503VM-ED115T","$1799.00","Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home"
"1685079071-2","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ROG Strix G...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/543","Asus ROG Strix GL702ZC-GC209T","$1769.00","Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home"
"1685079074-3","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ROG Strix G...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/542","Asus ROG Strix GL702ZC-GC154T","$1769.00","Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home"
"1685079077-4","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ROG Strix G...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/632","Asus ROG Strix GL702VM-GC146T","$1399.00","Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd"
"1685079080-5","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo Legion Y7...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/541","Lenovo Legion Y720","$1399.00","Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard"
"1685079083-6","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ASUSPRO B94...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/631","Asus ASUSPRO B9440UA-GV0279R Gray","$1381.13","Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd"
"1685079086-7","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Toshiba Portege...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/630","Toshiba Portege X20W-D-10V Black/Blue","$1366.32","Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro"
"1685079089-8","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo ThinkPad...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/629","Lenovo ThinkPad Yoga 370 Black","$1362.24","Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
"1685079092-9","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo ThinkPad...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/628","Lenovo ThinkPad T470","$1349.23","Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079095-10","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Apple MacBook Ai...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/627","Apple MacBook Air 13""","$1347.78","Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS"
