web-scraper-order,web-scraper-start-url,cat-1,cat-1-href,cat-2,cat-2-href,prod,prod-href,title,description,price,shipping-dest,shipping-method
"1685122482-1","https://shop111028974.taobao.com/","补运费","https://shop111028974.taobao.com/category-942350909.htm?search=y&catName=%B2%B9%D4%CB%B7%D1#bd","","","","https://item.taobao.com/item.htm?id=704808021527","正品GIANT捷安特户外 公路自行车把带EVA把带单车捆扎带缠带防滑","","","上海 至 全国","快递 ¥35.00"
"1685122496-2","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-3","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-4","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-5","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-6","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-7","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","捷安特GIANT 自行车尾包 公路山地车坐垫包 座垫包 车尾包鞍座包","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-8","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-9","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-10","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-11","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-12","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-13","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-14","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122496-15","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","","","","https://item.taobao.com/item.htm?id=39482229505","包邮新品捷安特GIANT自行车尾包公路车山地车后座挂包骑行装备","","32.00","上海 至 全国","快递 ¥35.00"
"1685122522-16","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","","15.84-19.36","上海 至 全国","快递 ¥35.00"
